Place_ID,Tour_Guide,Disabled_Accessibility,Phone_Allowed,Network_Availability,DSLR_Allowed,Restroom_Facility,Parking_Availability,Outside_Food_Allowed
40,Yes,Yes,Yes,No,Yes,No,Yes,No
41,No,Yes,Yes,No,Yes,Yes,No,No
42,No,Yes,Yes,No,Yes,Yes,No,No
43,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
44,No,Yes,No,Yes,No,Yes,No,No
45,Yes,No,Yes,Yes,Yes,No,Yes,No
46,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
47,Yes,Yes,Yes,Yes,Yes,No,Yes,No
48,No,Yes,Yes,Yes,Yes,No,No,No
49,No,Yes,Yes,Yes,Yes,Yes,No,No
50,No,No,Yes,Yes,Yes,Yes,No,No
51,Yes,Yes,Yes,Yes,Yes,No,Yes,No
52,Yes,No,Yes,Yes,Yes,No,Yes,No
53,No,Yes,Yes,No,Yes,No,No,No
54,Yes,Yes,Yes,No,Yes,Yes,Yes,No
55,Yes,Yes,Yes,No,Yes,Yes,Yes,No
56,No,Yes,Yes,No,Yes,No,No,No
57,No,Yes,Yes,No,Yes,No,No,No
58,Yes,No,Yes,No,Yes,No,Yes,No
59,Yes,Yes,Yes,No,Yes,No,Yes,No
60,No,Yes,Yes,No,Yes,No,No,No
61,No,No,Yes,No,Yes,No,No,No
62,No,No,Yes,No,Yes,No,No,No
63,No,Yes,Yes,No,Yes,No,No,No
64,No,No,Yes,No,Yes,No,No,No
65,No,Yes,Yes,No,Yes,No,No,No
66,No,No,Yes,No,Yes,No,No,No
67,Yes,Yes,Yes,No,Yes,No,Yes,No
68,Yes,Yes,No,No,No,Yes,Yes,No
69,No,Yes,Yes,No,Yes,No,No,No
70,No,Yes,Yes,No,Yes,No,No,No
71,Yes,No,Yes,No,Yes,No,Yes,No
72,Yes,No,No,No,No,No,Yes,No
73,No,Yes,Yes,No,Yes,No,No,No
74,Yes,Yes,Yes,No,Yes,Yes,Yes,No
75,Yes,Yes,Yes,No,Yes,No,Yes,No
76,No,Yes,Yes,No,Yes,No,No,No
77,No,Yes,Yes,No,Yes,No,No,No
78,No,No,Yes,No,Yes,No,No,No
79,No,No,Yes,No,Yes,No,No,No
80,No,Yes,Yes,No,Yes,Yes,No,No
81,Yes,Yes,Yes,No,Yes,Yes,Yes,No
82,Yes,No,Yes,No,Yes,Yes,Yes,No
83,No,Yes,Yes,No,Yes,No,No,No
84,Yes,Yes,Yes,No,Yes,Yes,Yes,No
85,Yes,Yes,No,No,No,No,Yes,No
86,Yes,Yes,Yes,No,Yes,Yes,Yes,No
87,Yes,Yes,Yes,No,Yes,Yes,Yes,No
88,Yes,Yes,No,No,No,No,Yes,No
89,Yes,Yes,Yes,No,Yes,No,Yes,No
90,Yes,Yes,Yes,No,Yes,Yes,Yes,No
91,Yes,No,Yes,No,Yes,No,Yes,No
92,No,Yes,Yes,No,Yes,No,No,No
93,No,Yes,Yes,No,Yes,Yes,No,No
94,Yes,Yes,Yes,No,Yes,No,Yes,No
95,No,Yes,Yes,No,Yes,No,No,No
96,No,No,Yes,No,Yes,No,No,No
97,No,Yes,Yes,No,Yes,No,No,No
98,No,No,Yes,No,Yes,No,No,No
99,Yes,Yes,Yes,No,Yes,No,Yes,No
100,Yes,Yes,No,No,No,No,Yes,No
101,No,Yes,Yes,No,Yes,No,No,No
102,No,Yes,Yes,No,Yes,Yes,No,No
103,No,Yes,Yes,No,Yes,No,No,No
104,No,No,Yes,No,Yes,No,No,No
105,No,Yes,Yes,No,Yes,No,No,No
106,Yes,Yes,Yes,No,Yes,No,Yes,No
107,No,Yes,Yes,No,Yes,Yes,No,No
108,Yes,Yes,Yes,No,Yes,No,Yes,No
109,No,Yes,Yes,No,Yes,No,No,No
110,No,Yes,Yes,No,Yes,No,No,No
111,No,No,Yes,No,Yes,No,No,No
112,Yes,Yes,Yes,No,Yes,Yes,Yes,No
113,Yes,Yes,Yes,No,Yes,No,Yes,No
114,No,Yes,Yes,No,Yes,No,No,No
115,No,No,Yes,No,Yes,No,No,No
116,No,Yes,Yes,No,Yes,No,No,No
117,Yes,No,No,No,No,No,Yes,No
118,No,Yes,Yes,No,Yes,No,No,No
119,No,Yes,Yes,No,Yes,No,No,No
120,Yes,Yes,No,No,No,No,Yes,No
121,Yes,No,Yes,No,Yes,No,Yes,No
122,No,Yes,Yes,No,Yes,No,No,No
123,Yes,Yes,No,No,No,No,Yes,No
124,Yes,No,Yes,No,Yes,Yes,Yes,No
125,Yes,Yes,Yes,No,Yes,No,Yes,No
126,No,Yes,Yes,No,Yes,No,No,No
127,Yes,Yes,No,No,No,Yes,Yes,No
128,No,No,Yes,No,Yes,No,No,No
129,Yes,Yes,No,No,No,No,Yes,No
130,Yes,No,Yes,No,Yes,No,Yes,No
131,Yes,No,No,No,No,Yes,Yes,No
132,Yes,No,Yes,No,Yes,No,Yes,No
133,No,Yes,Yes,No,Yes,No,No,No
134,No,No,Yes,No,Yes,No,No,No
135,No,Yes,Yes,No,Yes,No,No,No
136,Yes,Yes,Yes,No,Yes,No,Yes,No
137,No,Yes,Yes,No,Yes,No,No,No
138,Yes,Yes,Yes,No,Yes,No,Yes,No
139,Yes,Yes,Yes,No,Yes,Yes,Yes,No
140,Yes,Yes,Yes,No,Yes,No,Yes,No
141,Yes,Yes,No,No,No,Yes,Yes,No
142,No,Yes,Yes,No,Yes,No,No,No
143,No,Yes,Yes,No,Yes,No,No,No
144,No,Yes,Yes,No,Yes,No,No,No
145,No,Yes,Yes,No,Yes,No,No,No
146,Yes,Yes,Yes,No,Yes,No,Yes,No
147,Yes,Yes,Yes,No,Yes,No,Yes,No
148,No,Yes,Yes,No,Yes,No,No,No
149,Yes,Yes,Yes,No,Yes,No,Yes,No
150,No,Yes,Yes,No,Yes,No,No,No
151,No,Yes,Yes,No,Yes,No,No,No
152,No,Yes,Yes,No,Yes,No,No,No
153,Yes,Yes,No,No,No,No,Yes,No
154,No,No,Yes,No,Yes,No,No,No
155,Yes,Yes,Yes,No,Yes,No,Yes,No
156,No,No,Yes,No,Yes,No,No,No
157,No,No,Yes,No,Yes,No,No,No
158,No,Yes,Yes,No,Yes,No,No,No
159,Yes,Yes,Yes,No,Yes,No,Yes,No
160,No,No,Yes,No,Yes,No,No,No
161,No,No,Yes,No,Yes,No,No,No
162,No,No,Yes,No,Yes,No,No,No
163,No,Yes,Yes,No,Yes,No,No,No
164,Yes,Yes,Yes,No,Yes,Yes,Yes,No
165,No,Yes,Yes,No,Yes,Yes,No,No
166,No,Yes,Yes,No,Yes,Yes,No,No
167,No,No,Yes,No,Yes,Yes,No,No
168,No,No,Yes,No,Yes,No,No,No
169,No,Yes,Yes,No,Yes,No,No,No
170,No,Yes,Yes,No,Yes,No,No,No
171,Yes,Yes,Yes,No,Yes,No,Yes,No
172,No,Yes,Yes,No,Yes,No,No,No
173,No,Yes,Yes,No,Yes,Yes,No,No
174,No,Yes,Yes,No,Yes,No,No,No
175,Yes,Yes,No,No,No,No,Yes,No
176,No,Yes,Yes,No,Yes,No,No,No
177,No,Yes,Yes,No,Yes,No,No,No
178,No,No,Yes,No,Yes,No,No,No
179,Yes,Yes,No,No,No,No,Yes,No
180,Yes,No,No,No,No,No,Yes,No
181,No,Yes,Yes,No,Yes,No,No,No
182,Yes,Yes,Yes,No,Yes,Yes,Yes,No
183,Yes,Yes,No,No,No,Yes,Yes,No
184,Yes,Yes,No,No,No,No,Yes,No
185,Yes,Yes,No,No,No,No,Yes,No
186,Yes,Yes,No,No,No,No,Yes,No
187,Yes,Yes,No,No,No,No,Yes,No
188,Yes,Yes,Yes,No,Yes,No,Yes,No
189,Yes,No,Yes,No,Yes,No,Yes,No
190,Yes,No,Yes,No,Yes,No,Yes,No
191,Yes,Yes,Yes,No,Yes,No,Yes,No
192,No,No,Yes,No,Yes,No,No,No
193,Yes,Yes,Yes,No,Yes,No,Yes,No
194,Yes,Yes,No,No,No,No,Yes,No
195,No,Yes,Yes,No,Yes,No,No,No
196,No,Yes,Yes,No,Yes,No,No,No
197,No,Yes,Yes,No,Yes,No,No,No
198,No,Yes,Yes,No,Yes,No,No,No
199,Yes,No,No,No,No,Yes,Yes,No
200,No,Yes,Yes,No,Yes,No,No,No
201,Yes,Yes,Yes,No,Yes,No,Yes,No
202,Yes,Yes,No,No,No,No,Yes,No
203,No,Yes,Yes,No,Yes,No,No,No
204,Yes,No,Yes,No,Yes,No,Yes,No
205,Yes,Yes,No,No,No,No,Yes,No
206,No,No,Yes,No,Yes,No,No,No
207,No,No,Yes,No,Yes,No,No,No
208,Yes,Yes,Yes,No,Yes,No,Yes,No
209,No,No,Yes,No,Yes,No,No,No
210,No,Yes,Yes,No,Yes,No,No,No
211,Yes,Yes,No,No,No,No,Yes,No
212,Yes,Yes,Yes,No,Yes,No,Yes,No
213,Yes,Yes,Yes,No,Yes,No,Yes,No
214,No,No,Yes,No,Yes,No,No,No
215,Yes,Yes,Yes,No,Yes,No,Yes,No
216,No,Yes,Yes,No,Yes,No,No,No
217,No,No,Yes,No,Yes,No,No,No
218,No,Yes,Yes,No,Yes,No,No,No
219,No,Yes,Yes,No,Yes,No,No,No
220,Yes,Yes,Yes,No,Yes,No,Yes,No
221,Yes,Yes,No,No,No,No,Yes,No
222,No,Yes,No,No,No,No,No,No
223,No,Yes,Yes,No,Yes,No,No,No
224,Yes,Yes,Yes,No,Yes,No,Yes,No
225,No,Yes,Yes,No,Yes,No,No,No
226,Yes,Yes,No,No,No,Yes,Yes,No
227,Yes,Yes,Yes,No,Yes,Yes,Yes,No
228,Yes,Yes,No,No,No,No,Yes,No
229,No,Yes,Yes,No,Yes,Yes,No,No
230,Yes,Yes,Yes,No,Yes,No,Yes,No
231,No,Yes,Yes,No,Yes,No,No,No
232,No,No,Yes,No,Yes,No,No,No
233,Yes,No,No,No,No,No,Yes,No
234,No,Yes,Yes,No,Yes,No,No,No
235,No,Yes,Yes,No,Yes,No,No,No
236,No,Yes,Yes,No,Yes,No,No,No
237,No,Yes,Yes,Yes,Yes,No,No,No
238,Yes,Yes,No,No,No,Yes,Yes,No
239,Yes,Yes,No,No,No,No,Yes,No
240,Yes,No,No,No,No,No,Yes,No
241,No,Yes,Yes,No,Yes,Yes,No,No
242,Yes,Yes,No,No,No,No,Yes,No
243,No,Yes,Yes,No,Yes,No,No,No
244,Yes,No,No,No,No,No,Yes,No
245,Yes,No,No,No,No,No,Yes,No
246,No,Yes,Yes,No,Yes,No,No,No
247,Yes,No,No,No,No,No,Yes,No
248,Yes,Yes,No,No,No,No,Yes,No
249,Yes,Yes,No,No,No,No,Yes,No
250,No,Yes,Yes,No,Yes,No,No,No
251,Yes,Yes,No,No,No,No,Yes,No
252,No,Yes,Yes,No,Yes,No,No,No
253,Yes,Yes,Yes,No,Yes,No,Yes,No
254,No,Yes,Yes,No,Yes,No,No,No
255,Yes,Yes,No,No,No,No,Yes,No
256,No,Yes,Yes,No,Yes,Yes,No,No
257,Yes,Yes,Yes,No,Yes,No,Yes,No
258,Yes,Yes,Yes,No,Yes,No,Yes,No
259,Yes,Yes,No,No,No,Yes,Yes,No
260,No,No,Yes,No,Yes,No,No,No
261,Yes,Yes,Yes,No,Yes,No,Yes,No
262,No,Yes,Yes,No,Yes,No,No,No
263,Yes,Yes,Yes,No,Yes,No,Yes,No
264,No,Yes,Yes,No,Yes,No,No,No
265,No,Yes,Yes,No,Yes,No,No,No
266,No,Yes,Yes,No,Yes,No,No,No
267,Yes,Yes,Yes,No,Yes,No,Yes,No
268,Yes,Yes,No,No,No,No,Yes,No
269,Yes,Yes,No,No,No,No,Yes,No
270,Yes,No,No,No,No,No,Yes,No
271,No,Yes,Yes,No,Yes,No,No,No
272,Yes,Yes,No,No,No,No,Yes,No
273,No,Yes,Yes,No,Yes,No,No,No
274,Yes,Yes,No,No,No,No,Yes,No
275,No,Yes,No,No,No,No,No,No
276,No,No,Yes,No,Yes,No,No,No
277,Yes,Yes,Yes,No,Yes,No,Yes,No
278,No,Yes,Yes,No,Yes,No,No,No
279,No,No,Yes,No,Yes,No,No,No
280,Yes,Yes,Yes,No,Yes,Yes,Yes,No
281,No,Yes,Yes,No,Yes,No,No,No
282,Yes,No,No,No,No,No,Yes,No
283,Yes,No,Yes,No,Yes,No,Yes,No
284,No,Yes,Yes,No,Yes,No,No,No
285,Yes,Yes,Yes,No,Yes,No,Yes,No
286,No,Yes,Yes,No,Yes,No,No,No
287,No,Yes,Yes,No,Yes,No,No,No
288,No,Yes,Yes,No,Yes,No,No,No
289,No,No,Yes,No,Yes,No,No,No
290,No,Yes,Yes,No,Yes,No,No,No
291,Yes,Yes,Yes,No,Yes,No,Yes,No
292,No,Yes,Yes,No,Yes,No,No,No
293,No,Yes,Yes,No,Yes,No,No,No
294,No,Yes,Yes,No,Yes,No,No,No
295,No,Yes,Yes,No,Yes,Yes,No,No
296,Yes,Yes,Yes,No,Yes,Yes,Yes,No
297,Yes,Yes,Yes,No,Yes,Yes,Yes,No
298,Yes,Yes,Yes,No,Yes,No,Yes,No
299,Yes,No,Yes,No,Yes,No,Yes,No
300,No,Yes,Yes,No,Yes,No,No,No
301,Yes,Yes,Yes,No,Yes,No,Yes,No
302,No,Yes,Yes,No,Yes,No,No,No
303,No,Yes,Yes,No,Yes,No,No,No
304,No,Yes,Yes,No,Yes,Yes,No,No
305,No,Yes,Yes,No,Yes,Yes,No,No
306,Yes,No,Yes,No,Yes,Yes,Yes,No
307,Yes,No,No,No,No,Yes,Yes,No
308,No,No,Yes,No,Yes,Yes,No,No
309,No,Yes,Yes,No,Yes,No,No,No
310,No,Yes,Yes,No,Yes,Yes,No,No
311,No,Yes,Yes,No,Yes,Yes,No,No
312,No,Yes,Yes,No,Yes,Yes,No,No
313,No,Yes,Yes,No,Yes,Yes,No,No
314,Yes,Yes,Yes,No,Yes,No,Yes,No
315,Yes,Yes,No,No,No,No,Yes,No
316,No,Yes,Yes,No,Yes,Yes,No,No
317,No,Yes,Yes,No,Yes,No,No,No
318,No,Yes,Yes,No,Yes,Yes,No,No
319,No,Yes,Yes,No,Yes,No,No,No
320,No,Yes,Yes,No,Yes,No,No,No
321,Yes,Yes,No,No,No,No,Yes,No
322,Yes,Yes,Yes,No,Yes,Yes,Yes,No
323,No,Yes,Yes,No,Yes,No,No,No
324,Yes,No,Yes,No,Yes,Yes,Yes,No
325,Yes,No,Yes,No,Yes,Yes,Yes,No
326,No,No,Yes,No,Yes,Yes,Yes,No
