Place_ID,Local_Public_Transport,Rental_Bike_Car_Available,Nearby_RailwayStation,Nearby_Airport
270,No,Yes,No,Yes
271,No,Yes,No,Yes
272,No,Yes,No,Yes
273,No,Yes,No,Yes
274,No,Yes,No,Yes
275,No,Yes,No,No
276,No,Yes,No,Yes
277,No,Yes,No,No
278,No,Yes,No,No
279,No,Yes,No,No
280,No,Yes,No,No
281,No,Yes,No,Yes
282,No,Yes,No,No
283,No,Yes,No,Yes
284,No,Yes,No,No
285,No,Yes,No,No
286,No,Yes,No,No
287,No,Yes,No,No
288,No,Yes,No,Yes
289,No,Yes,No,Yes
290,No,Yes,No,Yes
291,No,Yes,No,Yes
292,No,Yes,No,No
293,No,Yes,No,No
294,No,Yes,No,No
295,No,Yes,No,No
296,No,Yes,No,No
297,No,Yes,No,Yes
298,No,Yes,No,Yes
299,No,Yes,No,Yes
300,No,Yes,No,Yes
301,No,Yes,No,Yes
302,No,Yes,No,Yes
303,No,Yes,No,Yes
304,No,Yes,No,Yes
305,No,Yes,No,Yes
306,No,Yes,No,Yes
307,No,Yes,No,No
308,No,Yes,No,Yes
309,No,Yes,No,Yes
310,No,Yes,No,Yes
311,No,Yes,No,Yes
312,No,Yes,No,Yes
313,No,Yes,Yes,Yes
314,No,Yes,No,Yes
315,No,Yes,No,Yes
316,No,Yes,No,Yes
317,No,Yes,Yes,Yes
318,No,Yes,No,Yes
319,No,Yes,No,Yes
320,No,Yes,No,No
321,No,Yes,No,Yes
322,No,Yes,No,Yes
323,No,Yes,Yes,Yes
324,No,Yes,Yes,Yes
325,No,Yes,Yes,Yes
326,Yes,Yes,No,No
